name,source,region,number_of_games,start_date,end_date
Worlds Main Event 2024,https://gol.gg/tournament/tournament-stats/Worlds%20Main%20Event%202024/,WR,8,2024-10-03,2024-10-03
Worlds Play-In 2024,https://gol.gg/tournament/tournament-stats/Worlds%20Play-In%202024/,WR,24,2024-09-25,2024-09-29
Americas Challengers 2024,https://gol.gg/tournament/tournament-stats/Americas%20Challengers%202024/,WR,35,2024-09-14,2024-09-21
LCK Regional Finals 2024,https://gol.gg/tournament/tournament-stats/LCK%20Regional%20Finals%202024/,KR,13,2024-09-12,2024-09-14
LVP SL Promotion 2025,https://gol.gg/tournament/tournament-stats/LVP%20SL%20Promotion%202025/,ES,11,2024-09-03,2024-09-10
LCK Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/LCK%20Summer%20Playoffs%202024/,KR,31,2024-08-23,2024-09-08
NACL Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/NACL%20Summer%20Playoffs%202024/,NA,43,2024-08-17,2024-09-08
CBLOL Split 2 Playoffs 2024,https://gol.gg/tournament/tournament-stats/CBLOL%20Split%202%20Playoffs%202024/,BR,41,2024-08-03,2024-09-07
LCS Championship 2024,https://gol.gg/tournament/tournament-stats/LCS%20Championship%202024/,NA,40,2024-08-17,2024-09-07
Prime League Promotion 2025,https://gol.gg/tournament/tournament-stats/Prime%20League%20Promotion%202025/,DE,12,2024-09-03,2024-09-07
LCK CL Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/LCK%20CL%20Summer%20Playoffs%202024/,KR,34,2024-08-19,2024-09-06
LFL Promotion 2025,https://gol.gg/tournament/tournament-stats/LFL%20Promotion%202025/,FR,11,2024-09-04,2024-09-06
LPL Regional Finals 2024,https://gol.gg/tournament/tournament-stats/LPL%20Regional%20Finals%202024/,CN,13,2024-08-31,2024-09-02
LEC Season Finals 2024,https://gol.gg/tournament/tournament-stats/LEC%20Season%20Finals%202024/,EUW,32,2024-08-10,2024-09-01
PCS Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/PCS%20Summer%20Playoffs%202024/,WR,67,2024-08-05,2024-09-01
EMEA Masters Summer 2024,https://gol.gg/tournament/tournament-stats/EMEA%20Masters%20Summer%202024/,WR,191,2024-08-05,2024-08-30
LPL Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/LPL%20Summer%20Playoffs%202024/,CN,60,2024-08-03,2024-08-30
CBLOL Academy Split 2 Playoffs 2024,https://gol.gg/tournament/tournament-stats/CBLOL%20Academy%20Split%202%20Playoffs%202024/,BR,45,2024-07-22,2024-08-25
LLA Closing Playoffs 2024,https://gol.gg/tournament/tournament-stats/LLA%20Closing%20Playoffs%202024/,LAT,26,2024-07-30,2024-08-24
LCK Summer 2024,https://gol.gg/tournament/tournament-stats/LCK%20Summer%202024/,KR,209,2024-06-12,2024-08-18
VCS Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/VCS%20Summer%20Playoffs%202024/,VN,25,2024-08-07,2024-08-18
LCK CL Summer 2024,https://gol.gg/tournament/tournament-stats/LCK%20CL%20Summer%202024/,KR,223,2024-06-10,2024-08-16
LCS Summer 2024,https://gol.gg/tournament/tournament-stats/LCS%20Summer%202024/,NA,65,2024-06-15,2024-08-11
NACL Summer 2024,https://gol.gg/tournament/tournament-stats/NACL%20Summer%202024/,NA,111,2024-06-15,2024-08-11
Hitpoint Masters Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/Hitpoint%20Masters%20Summer%20Playoffs%202024/,CZ,14,2024-07-19,2024-08-04
LFL Div2 Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/LFL%20Div2%20Summer%20Playoffs%202024/,FR,22,2024-07-08,2024-08-04
LVP SL 2nd Div Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/LVP%20SL%202nd%20Div%20Summer%20Playoffs%202024/,ES,16,2024-07-15,2024-08-04
VCS Summer 2024,https://gol.gg/tournament/tournament-stats/VCS%20Summer%202024/,VN,100,2024-06-21,2024-08-04
LFL Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/LFL%20Summer%20Playoffs%202024/,FR,24,2024-07-20,2024-08-03
NLC Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/NLC%20Summer%20Playoffs%202024/,EUW,17,2024-07-24,2024-08-03
Prime League Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/Prime%20League%20Summer%20Playoffs%202024/,DE,23,2024-07-16,2024-08-03
LVP SL Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/LVP%20SL%20Summer%20Playoffs%202024/,ES,25,2024-07-20,2024-08-03
TCL Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/TCL%20Summer%20Playoffs%202024/,TR,26,2024-07-20,2024-08-03
Ultraliga Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/Ultraliga%20Summer%20Playoffs%202024/,PL,16,2024-07-24,2024-08-03
EMEA Masters Summer LCQ 2024,https://gol.gg/tournament/tournament-stats/EMEA%20Masters%20Summer%20LCQ%202024/,WR,69,2024-07-31,2024-08-02
LPL Summer Season 2024,https://gol.gg/tournament/tournament-stats/LPL%20Summer%20Season%202024/,CN,152,2024-07-05,2024-07-31
Prime League 2nd Div Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/Prime%20League%202nd%20Div%20Summer%20Playoffs%202024/,DE,25,2024-07-08,2024-07-30
CBLOL Split 2 2024,https://gol.gg/tournament/tournament-stats/CBLOL%20Split%202%202024/,BR,92,2024-06-01,2024-07-29
LEC Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/LEC%20Summer%20Playoffs%202024/,EUW,42,2024-07-12,2024-07-28
LJL Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/LJL%20Summer%20Playoffs%202024/,JP,15,2024-07-20,2024-07-28
PCS Summer 2024,https://gol.gg/tournament/tournament-stats/PCS%20Summer%202024/,PCS,73,2024-06-08,2024-07-28
TCL Div2 Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/TCL%20Div2%20Summer%20Playoffs%202024/,TR,24,2024-07-21,2024-07-28
Elite Series Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/Elite%20Series%20Summer%20Playoffs%202024/,BE,17,2024-07-16,2024-07-27
LIT Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/LIT%20Summer%20Playoffs%202024/,IT,16,2024-07-10,2024-07-25
LLA Closing 2024,https://gol.gg/tournament/tournament-stats/LLA%20Closing%202024/,LAT,63,2024-06-11,2024-07-24
LCO Split 2 Playoffs 2024,https://gol.gg/tournament/tournament-stats/LCO%20Split%202%20Playoffs%202024/,OCE,22,2024-07-15,2024-07-22
GLL Summer Playoffs 2024,https://gol.gg/tournament/tournament-stats/GLL%20Summer%20Playoffs%202024/,GR,14,2024-07-09,2024-07-20
